Actif;Date;High;Low;Open;Close;Volume
^FTSE;16/11/2012;5682.7;5605.6;5677.8;5605.6;939484400
^FTSE;15/11/2012;5722;5674.3;5722;5677.8;800053200
^FTSE;14/11/2012;5786.3;5719.6;5786.3;5722;865457600
^FTSE;13/11/2012;5786.3;5711;5767.3;5786.3;950553800
^FTSE;12/11/2012;5795.3;5762;5769.7;5767.3;654357600
^FTSE;09/11/2012;5786.4;5715.2;5776;5769.7;708900000
^FTSE;08/11/2012;5824.4;5770.7;5791.6;5776;729478400
^FTSE;07/11/2012;5921.8;5789.4;5884.9;5791.6;922666000
^FTSE;06/11/2012;5885.2;5839.1;5839.1;5884.9;774892600
^FTSE;05/11/2012;5868.5;5825.5;5868.5;5839.1;568662200
^FTSE;02/11/2012;5890.1;5844.3;5861.9;5868.5;855128600
^FTSE;01/11/2012;5866.8;5778;5782.7;5861.9;1042673900
^FTSE;31/10/2012;5866.7;5782.7;5849.9;5782.7;874664200
^FTSE;30/10/2012;5852.2;5794.9;5795.1;5849.9;403992200
^FTSE;29/10/2012;5812.7;5763.5;5806.7;5795.1;432888800
^FTSE;26/10/2012;5817.9;5753.3;5805;5806.7;622849800
^FTSE;25/10/2012;5840.6;5802.2;5804.8;5805;654435200
^FTSE;24/10/2012;5823.2;5776.6;5797.9;5804.8;957930400
^FTSE;23/10/2012;5893.4;5789;5882.9;5797.9;654156800
^FTSE;22/10/2012;5911;5869.9;5896.1;5882.9;540570400
^FTSE;19/10/2012;5919.7;5892.2;5917;5896.1;829432600
^FTSE;18/10/2012;5928.3;5896.5;5910.9;5917;878645800
^FTSE;17/10/2012;5915.6;5868.7;5870.5;5910.9;905140000
^FTSE;16/10/2012;5878.1;5805.6;5805.6;5870.5;877624400
^FTSE;15/10/2012;5827.9;5786;5793.3;5805.6;695723200
^FTSE;12/10/2012;5829.8;5793.3;5829.8;5793.3;888088200
^FTSE;11/10/2012;5846.3;5766.7;5776.7;5829.8;694156400
^FTSE;10/10/2012;5810.5;5776.7;5810.3;5776.7;681615400
^FTSE;09/10/2012;5856.4;5795.2;5841.7;5810.3;574468400
^FTSE;08/10/2012;5871;5818.8;5871;5841.7;492224000
^FTSE;05/10/2012;5885.6;5827.6;5827.8;5871;883077400
^FTSE;04/10/2012;5854.2;5803.2;5825.8;5827.8;818041800
^FTSE;03/10/2012;5832.5;5785;5809.5;5825.8;606196800
^FTSE;02/10/2012;5840.4;5781.4;5820.5;5809.5;704898600
^FTSE;01/10/2012;5843.5;5738.6;5742.1;5820.5;690293800
^FTSE;28/09/2012;5807.8;5740.5;5779.4;5742.1;745469400
^FTSE;27/09/2012;5804.1;5763;5768.1;5779.4;550622000
^FTSE;26/09/2012;5859.7;5751.4;5859.7;5768.1;685845800
^FTSE;25/09/2012;5869.2;5828.3;5838.8;5859.7;737480800
^FTSE;24/09/2012;5852.6;5806.1;5852.6;5838.8;736974000
^FTSE;21/09/2012;5887.6;5838.9;5854.6;5852.6;1205429400
^FTSE;20/09/2012;5888.5;5824.4;5888.5;5854.6;656511200
^FTSE;19/09/2012;5894.4;5861;5868.2;5888.5;704137600
^FTSE;18/09/2012;5893.5;5837.5;5893.5;5868.2;804235800
^FTSE;17/09/2012;5915.7;5883.2;5915.5;5893.5;691683800
^FTSE;14/09/2012;5932.6;5819.9;5819.9;5915.5;1506216600
^FTSE;13/09/2012;5826.6;5770.3;5782.1;5819.9;819778000
^FTSE;12/09/2012;5821.2;5757.6;5792.2;5782.1;1101683800
^FTSE;11/09/2012;5796.6;5764.2;5793.2;5792.2;784354200
^FTSE;10/09/2012;5806.8;5777.1;5794.8;5793.2;672891000
^FTSE;07/09/2012;5807.6;5772.9;5777.3;5794.8;1271438300
^FTSE;06/09/2012;5786;5657.9;5657.9;5777.3;1103242800
^FTSE;05/09/2012;5675.9;5634.9;5672;5657.9;740072800
^FTSE;04/09/2012;5758.4;5658.3;5758.4;5672;630889200
^FTSE;03/09/2012;5758.4;5701.1;5711.5;5758.4;394561400
^FTSE;31/08/2012;5763.8;5708;5719.5;5711.5;851664800
^FTSE;30/08/2012;5743.5;5705.6;5743.5;5719.5;479197000
^FTSE;29/08/2012;5775.8;5739.2;5775.7;5743.5;524475400
^FTSE;28/08/2012;5779.5;5749.8;5776.6;5775.7;524670600
^FTSE;24/08/2012;5791.4;5739.4;5776.6;5776.6;487763800
^FTSE;23/08/2012;5809.3;5764;5774.2;5776.6;637456200
^FTSE;22/08/2012;5857.5;5771.2;5857.5;5774.2;535193000
^FTSE;21/08/2012;5872.6;5824.4;5824.4;5857.5;502599000
^FTSE;20/08/2012;5857.5;5802.9;5852.4;5824.4;693438400
^FTSE;17/08/2012;5854.7;5834.4;5834.5;5852.4;732426200
^FTSE;16/08/2012;5846.7;5811.3;5833;5834.5;587478200
^FTSE;15/08/2012;5864.8;5822.3;5864.8;5833;560382800
^FTSE;14/08/2012;5876.2;5831.9;5831.9;5864.8;628112400
^FTSE;13/08/2012;5852.8;5813.6;5847.1;5831.9;410854200
^FTSE;10/08/2012;5858.6;5827.7;5851.5;5847.1;466836800
^FTSE;09/08/2012;5860.2;5828.4;5845.9;5851.5;741075800
^FTSE;08/08/2012;5845.9;5801.1;5841.2;5845.9;588922600
^FTSE;07/08/2012;5841.2;5785;5808.8;5841.2;779689000
^FTSE;06/08/2012;5837.6;5767.1;5787.3;5808.8;613098000
^FTSE;03/08/2012;5794;5662.3;5662.3;5787.3;748571600
^FTSE;02/08/2012;5765.8;5657.3;5712.8;5662.3;805200600
^FTSE;01/08/2012;5712.8;5633;5635.3;5712.8;554180400
^FTSE;31/07/2012;5695.5;5635.3;5693.6;5635.3;645790800
^FTSE;30/07/2012;5706.5;5625.7;5627.2;5693.6;649432800
^FTSE;27/07/2012;5631;5550.9;5573.2;5627.2;732786000
^FTSE;26/07/2012;5594.5;5478;5498.3;5573.2;817687600
^FTSE;25/07/2012;5526.1;5478;5499.2;5498.3;621394800
^FTSE;24/07/2012;5556.6;5487;5533.9;5499.2;551196800
^FTSE;23/07/2012;5651.8;5510.9;5651.8;5533.9;691607200
^FTSE;20/07/2012;5714.2;5644.9;5714.2;5651.8;961834400
^FTSE;19/07/2012;5718.6;5685.8;5685.8;5714.2;711475200
^FTSE;18/07/2012;5688.3;5624.5;5629.1;5685.8;672662400
^FTSE;17/07/2012;5676.5;5621.2;5662.4;5629.1;602763000
^FTSE;16/07/2012;5670.6;5640.9;5666.1;5662.4;569737800
^FTSE;13/07/2012;5675.6;5608.3;5608.3;5666.1;609268400
^FTSE;12/07/2012;5664.5;5588.8;5664.5;5608.3;667432600
^FTSE;11/07/2012;5674.6;5625.6;5664.1;5664.5;606669000
^FTSE;10/07/2012;5688.7;5622.3;5627.3;5664.1;607970000
^FTSE;09/07/2012;5669.8;5610.7;5662.6;5627.3;686238000
^FTSE;06/07/2012;5695.1;5647.5;5692.6;5662.6;602832000
^FTSE;05/07/2012;5727.5;5662.5;5684.5;5692.6;767451400
^FTSE;04/07/2012;5699.9;5669.7;5687.7;5684.5;445463400
^FTSE;03/07/2012;5689;5636;5640.6;5687.7;795293400
^FTSE;02/07/2012;5640.6;5571.1;5571.1;5640.6;699028000
^FTSE;29/06/2012;5619.6;5493.1;5493.1;5571.1;1061820000
^FTSE;28/06/2012;5533.8;5436.5;5523.9;5493.1;1027922500
^FTSE;27/06/2012;5525.1;5447;5447;5523.9;678570400
^FTSE;26/06/2012;5476.5;5436.3;5450.6;5447;631700600
^FTSE;25/06/2012;5513.7;5435.5;5513.7;5450.6;716161000
^FTSE;22/06/2012;5566.4;5500;5566.4;5513.7;677911200
^FTSE;21/06/2012;5622.3;5564.8;5622.3;5566.4;787794200
^FTSE;20/06/2012;5623.9;5566;5586.3;5622.3;903447000
